query_generation_method,annealing_time,query_graph,num_relations,problem_index,sample_index,valid_ratio,opt_ratio,first_opt_index
IntLog,1000,CHAIN,5,0,9,0.0022,0.0000,None
IntLog,1000,CHAIN,5,0,10,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,11,0.0011,0.0000,None
IntLog,1000,CHAIN,5,0,12,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,13,0.0022,0.0000,None
IntLog,1000,CHAIN,5,0,14,0.0022,0.0000,None
IntLog,1000,CHAIN,5,0,15,0.0022,0.0000,None
IntLog,1000,CHAIN,5,0,16,0.0044,0.0000,None
IntLog,1000,CHAIN,5,0,17,0.0000,0.0000,None
IntLog,1000,CHAIN,5,0,18,0.0011,0.0000,None
IntLog,1000,CHAIN,5,0,19,0.0011,0.0000,None
IntLog,10,STAR,4,0,0,0.0267,0.0044,49
IntLog,10,STAR,4,0,1,0.0178,0.0022,379
IntLog,10,STAR,4,0,2,0.0167,0.0011,879
IntLog,10,STAR,4,0,3,0.0144,0.0022,414
IntLog,10,STAR,4,0,4,0.0311,0.0022,690
IntLog,10,STAR,4,0,5,0.0200,0.0000,None
IntLog,10,STAR,4,0,6,0.0178,0.0000,None
IntLog,10,STAR,4,0,7,0.0189,0.0011,721
IntLog,10,STAR,4,0,8,0.0233,0.0033,210
IntLog,10,STAR,4,0,9,0.0156,0.0011,79
IntLog,10,STAR,4,0,10,0.0200,0.0022,282
IntLog,10,STAR,4,0,11,0.0311,0.0000,None
IntLog,10,STAR,4,0,12,0.0156,0.0033,257
IntLog,10,STAR,4,0,13,0.0233,0.0011,273
IntLog,10,STAR,4,0,14,0.0278,0.0011,481
IntLog,10,STAR,4,0,15,0.0167,0.0022,284
IntLog,10,STAR,4,0,16,0.0278,0.0000,None
IntLog,10,STAR,4,0,17,0.0156,0.0000,None
IntLog,10,STAR,4,0,18,0.0289,0.0000,None
IntLog,10,STAR,4,0,19,0.0233,0.0044,46
IntLog,10,STAR,5,0,0,0.0000,0.0000,None
IntLog,10,STAR,5,0,1,0.0000,0.0000,None
IntLog,10,STAR,5,0,2,0.0000,0.0000,None
IntLog,10,STAR,5,0,3,0.0000,0.0000,None
IntLog,10,STAR,5,0,4,0.0000,0.0000,None
IntLog,10,STAR,5,0,5,0.0000,0.0000,None
IntLog,10,STAR,5,0,6,0.0011,0.0000,None
IntLog,10,STAR,5,0,7,0.0000,0.0000,None
IntLog,10,STAR,5,0,8,0.0000,0.0000,None
IntLog,10,STAR,5,0,9,0.0000,0.0000,None
IntLog,10,STAR,5,0,10,0.0000,0.0000,None
IntLog,10,STAR,5,0,11,0.0000,0.0000,None
IntLog,10,STAR,5,0,12,0.0011,0.0011,430
IntLog,10,STAR,5,0,13,0.0022,0.0000,None
IntLog,10,STAR,5,0,14,0.0000,0.0000,None
IntLog,10,STAR,5,0,15,0.0000,0.0000,None
IntLog,10,STAR,5,0,16,0.0022,0.0000,None
IntLog,10,STAR,5,0,17,0.0000,0.0000,None
IntLog,10,STAR,5,0,18,0.0000,0.0000,None
IntLog,10,STAR,5,0,19,0.0000,0.0000,None
IntLog,100,STAR,4,0,0,0.0222,0.0011,690
IntLog,100,STAR,4,0,1,0.0244,0.0011,93
IntLog,100,STAR,4,0,2,0.0133,0.0000,None
IntLog,100,STAR,4,0,3,0.0156,0.0011,822
IntLog,100,STAR,4,0,4,0.0156,0.0011,308
IntLog,100,STAR,4,0,5,0.0200,0.0022,240
IntLog,100,STAR,4,0,6,0.0200,0.0022,291
IntLog,100,STAR,4,0,7,0.0244,0.0033,287
IntLog,100,STAR,4,0,8,0.0178,0.0022,84
