vendor,optimizer,opt_level,query_graph_type,density,gateset,num_relations,sample_index,depth
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,15,247
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,16,285
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,17,332
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,18,304
IBMQ,Tket,1,CHAIN,0.05,Any_gates,4,19,304
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,0,503
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,1,510
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,2,578
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,3,477
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,4,552
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,5,554
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,6,496
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,7,558
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,8,465
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,9,477
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,10,533
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,11,500
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,12,523
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,13,522
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,14,552
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,15,552
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,16,533
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,17,450
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,18,522
IBMQ,Tket,1,CHAIN,0.05,Any_gates,5,19,587
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,0,551
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,1,740
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,2,708
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,3,708
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,4,660
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,5,551
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,6,551
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,7,707
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,8,700
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,9,691
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,10,727
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,11,601
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,12,647
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,13,624
IBMQ,Tket,1,CHAIN,0.05,Any_gates,6,14,810
